mimi,0142184918,manager,3000.0,36000.0,150.0,2520.0000000000005,2670.0000000000005
mimi,012345667889,chief,4000.0,48000.0,200.0,3360.0000000000005,3560.0000000000005
Nia,012543545,manager,3000.0,36000.0,150.0,2520.0000000000005,2670.0000000000005
kilia,01978473,supervisor,2000.0,24000.0,100.0,1680.0000000000002,1780.0000000000002
lalia ,01657578,manager,3000.0,36000.0,150.0,2520.0000000000005,2670.0000000000005
3,0187876,managers,3000.0,36000.0,150.0,2520.0000000000005,2670.0000000000005
Lanie,017475667,managers,3000.0,36000.0,150.0,2520.0000000000005,2670.0000000000005
kadil,0176675566,managers,30000.0,360000.0,1500.0,25200.000000000004,26700.000000000004
mian,018838748,chief,4000.0,48000.0,200.0,3360.0000000000005,3560.0000000000005
jijie,0174755583,manager,3000.0,36000.0,150.0,2520.0000000000005,2670.0000000000005
